,placename,placeaddress,placephone,placeinfo,placeintro,openhour,placeimg
20,에스바디워크필라테스 신촌점필라테스,서울 마포구 신촌로 82 2층,02-336-9609,"무선 인터넷, 남/녀 화장실 구분, 지역화폐(카드형)",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200525_129%2F1590388834975JOFqk_PNG%2F3gvPR9M2PWEH_4LStPgN5DLO.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_12%2F1589881309585cO5Dy_JPEG%2F%25B1%25E4%25B1%25DE%25C0%25E7%25B3%25AD%25C1%25F6%25BF%25F8%25B1%25DD_%25BB%25E7%25BF%25EB., https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_147%2F15898811686580cQul_JPEG%2F%25B1%25E8%25C1%25F6%25B9%25CE., https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_12%2F15898812179501DHA0_JPEG%2F%25BB%25E7%25C8%25B8%25C0%25FB%25B0%25C5%25B8%25AE%25B5%25CE%25B1%25E2.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200519_43%2F1589881217946HIt6i_JPEG%2F%25C1%25A7%25BD%25C3%25B9%25CD%25BD%25BA_%25B0%25F8%25B5%25BF%25B1%25B8%25B8%25C5."
21,이안필라테스필라테스,서울 마포구 월드컵북로48길 5 2층 이안필라테스,010-5695-6355,무선 인터넷,,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_188%2F1441062350637jYSdO_JPEG%2F166162525823053_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_287%2F1441062350841mAODT_JPEG%2F166162525823053_1.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_215%2F1441062351039R8Swi_JPEG%2F166162525823053_2.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_290%2F1441062351224mFaWS_JPEG%2F166162525823053_3.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_273%2F1441062351409uyfrd_JPEG%2F166162525823053_4.jpeg"
22,용필라테스필라테스,서울 마포구 마포대로 68 701호,0507-1416-8510,"주차, 예약","필라테스 1:1 개인레슨 굿모닝이벤트 1회당 45,000원!오픈이벤트 1회당 49,000원!횟수제한X 선착순 모집중!마포 공덕역에 위치한 1:1 필라테스 개인레슨 전문 센터입니다.마포아크로타워 7층",,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210326_274%2F1616763502063FBewm_JPEG%2FLPIeQ20GjpCFE6tN7FFu1llW.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210426_139%2F16193653119031LULM_JPEG%2FwYmgFq1H6kD3d6om32rQ8HFa.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210426_46%2F1619365311649mYq0L_JPEG%2FuetcEn3D-7d7izOC87cEjrUK.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210502_202%2F1619923660397715OV_JPEG%2FWGHNYCtbJCcfRdFgYYSGLvdX.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210502_98%2F1619923665602OC79x_JPEG%2FN7FD_cbhwR0SXYuEzx2npl-x.jpeg.jpg"
23,리본필라테스 공덕점필라테스,서울 마포구 마포대로 78 자람빌딩,0507-1383-9760,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180214_89%2F1518581340468vIYJu_JPEG%2FNKlo-jisvpb8qaCaALb9QiNc.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_178%2F15732165300846fMin_JPEG%2FjgORjoDdJnRfIa6KfVeXeW_W.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_93%2F15732165300234Pcnv_JPEG%2FUIMD2vfu0aV-lXN_-ddkU-7_.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_211%2F1573216529970jhEIA_JPEG%2F5TVLKaTKcAGUn91KRzspGz6T.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_186%2F1573216529811qLam7_JPEG%2Fk-RFv_eAeyp_MlixTdeeIBtv.jpg"
24,플라잉필라테스필라테스,서울 마포구 월드컵북로 402 케이지아이티센터,0507-1431-6336,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분","상암최초플라잉요가&기구필라테스&자이로토닉&번지피지오스튜디오입니다.그룹레슨,듀엣레슨,개인레슨 다양한이벤트중",,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_283%2F1440999235226wQuWM_JPEG%2FSUBMIT_1407838001187_35413516.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170908_116%2F1504816182923NhF8Q_JPEG%2FxYMQhqLmXhLT408H-aAJ2zGy.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190427_191%2F1556370551065S5Hxq_JPEG%2FPNlZkwVm5Mjb_m45wv_cQ6Xw.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190427_27%2F1556370562354rL1Oj_JPEG%2F-S0ju5XZkYaKADISjPH0gSon.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190427_210%2F1556370578693iB2aA_JPEG%2FOqUjHxRinvuwmoiCWLkvz6W1.JPG.jpg"
25,에스바디핏 망원점필라테스,서울 마포구 월드컵로 67 2층,0507-1353-1433,"주차, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(모바일형), 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201106_188%2F1604641778598OdbkO_JPEG%2FDPSBkoiUXC7LJ9r0Hhe0aA7X.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201106_292%2F1604641786253QmsYG_JPEG%2F1ZjHK5WRvBTxuZtvtxE7OKju.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201106_163%2F16046417994949CoCI_JPEG%2Fk0C7s8Zl5uJaYvkh9o0l66tG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201106_256%2F1604641805967tJ8er_JPEG%2F7qecyY2mk43MGeWQV0VK9yp0.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201106_150%2F1604641813174FH4tA_JPEG%2FaeSbN7nzKbsFxegFQUPBAfzy.jpg"
26,바른핏 PT&필라테스 광흥창점필라테스,"서울 마포구 창전동 220-1 2,3층",010-3091-9722,"주차, 예약, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200407_11%2F15862564611215mE0a_JPEG%2Fi2n25zDteqEiiKlXVAdVO3Sz.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190118_110%2F1547742047226pQhWe_JPEG%2F95P6vK4DsgNzj81NyK8LLZnB.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190118_87%2F1547743823846axU9n_JPEG%2Fjl57hOFjJUs3IrUpYgCZpiUP.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190118_245%2F15477438445560sxi8_JPEG%2FJ3Vw3nNpPIgr6P4cAh_NOsqy.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190713_108%2F1562992652148f7lH4_JPEG%2F-Om77tMhhhMy1_6x58_Lz5ud.jpg"
27,마마필라테스 서강대점필라테스,서울 마포구 백범로 71,02-716-5579,"주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171206_191%2F1512554369727Mivo3_PNG%2FslLfCuzp128Ttnwt9QqgMb_9.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171206_96%2F1512554383017140qc_PNG%2FIcugCYqAOv09mAshGqq9uZ2g.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180927_185%2F1538019485794tXla2_JPEG%2FziaZMrtXyTbcVK6S9_aTMLdy.jpg"
28,리본필라테스 합정점필라테스,서울 마포구 양화로 78-19 리본필라테스,02-701-7407,"주차, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210809_153%2F1628500635265sYA2K_JPEG%2FRQ9XkoFNrIU5nMczuZMMRT4y.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210809_102%2F1628500688852WeKak_JPEG%2FC65shwae68R-b3eG7r2tP05-.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210809_289%2F1628500688870zbk3J_JPEG%2FKZ0GAK-9qlHo3ogQR-6WJBfQ.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210809_270%2F1628500688976UuTLl_JPEG%2FUlXuoOMCZLdUyf4EMWCPzDkY.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210809_182%2F1628500688871x3dLh_JPEG%2F49hJRh_uGECxwXr4uguBgtpz.jpg"
29,바디마인드필라테스필라테스,서울 마포구 월드컵로 204 이안상암 2층,02-568-3500,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",BODYMIND WELLNESS STUDIOPilates Gyritonic Balletfit기구필라테스 전문 스튜디오입니다.필라테스 4:1 / 2:1 / 1:1 자이로토닉 1:1발레핏 4:1체형교정다이어트근력﻿·유연성강화산전산후통증완화재활운동인지능력향상키즈키성장발달노인건강관리,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_222%2F1629100495476PQoBQ_JPEG%2FxBQ2HLKfkF_0EWVxomkClqBG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_299%2F1629100503455FL6qU_JPEG%2F-FCFiryHaDkxCiLUQPT7qimU.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191204_163%2F1575437147037oQqTn_JPEG%2FJUQOK-EDVfBn_if4QDe3f2gr.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_276%2F1629100520805EaEKH_JPEG%2FCzy39MI3oj8072b3Mt744mPZ.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210816_165%2F1629100536315IeFiM_JPEG%2FmHqZLauPpKHxEQSHPwywX6ji.jpg"
30,필라걸 상암MBC점필라테스,서울 마포구 성암로 267 C2 PLAZA 3층 302호,0507-1439-9923,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설, 지역화폐(지류형), 지역화폐(카드형), 지역화폐(모바일형), 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_289%2F1612763976826xJmKO_JPEG%2FmRYV1gi7O67hDSp1o_MKPCCq.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_165%2F1612763991196vg0WI_JPEG%2Fh5vFdnhd1_IwSufK48Rm1p0B.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_132%2F16127639299209ygrQ_JPEG%2FbsxOt2P_G-TJ5FeoZvRJbSWO.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_279%2F1612763947640OU3lP_JPEG%2FHV7Xpnc7n5Uv7KIe_mg604Ar.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_72%2F1612763934785Gj6Ho_JPEG%2FLnoaWd4mHaYzGqAG8LsPNhLb.jpg"
31,제니 필라테스필라테스,서울 마포구 양화로6길 78 2층,0507-1326-5304,"주차, 예약",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200909_165%2F1599655843040QncqO_PNG%2FY6y9OBp9vqHGoO-kYb5Xh5d8.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200902_76%2F1599027642979qyAz9_JPEG%2FE8hHm-6kdLyS_Bvz150D5dZf.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200902_285%2F1599026684896JHDnw_JPEG%2F2qcSclEz1BagMjBhVKASHsOf.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200902_227%2F1599026686757WUDRX_JPEG%2F3N2hHEfhPaf-Nm3XO8aA7vU9.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200831_67%2F1598861673968xyjPL_JPEG%2Fimage.jpg"
32,달리운동장필라테스,서울 마포구 월드컵로3길 31-31 네오빌딩 3층 달리운동장,0507-1336-7802,"단체석, 방문접수/출장, 예약, 무선 인터넷, 지역화폐(모바일형), 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_275%2F1589510126101KcLQB_JPEG%2FCyUbUnOVQMJsZpqbLDPKqZ03.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_144%2F15895101261938VjS8_JPEG%2FuJhLqYcIATXEqTYUH1Kx_d-_.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_73%2F1589510128058SS7CU_JPEG%2F2-Wz12tj_xZTkTap75GCCA2I.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_299%2F15895101271604kTH3_JPEG%2F44kATIZVDyb0CrZzsvmiWh7C.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200515_247%2F1589510126241VoRdW_JPEG%2FNCdXMBDMPkGWdG0uI-WdF5cR.JPG.jpg"
33,에스바디워크필라테스 마포점필라테스,서울 마포구 마포대로 68 마포 아크로타워 지하1층,0507-1309-9609,"주차, 예약, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200525_172%2F1590389990287BgUIK_PNG%2FtOtdFbx4YN6ws7T6XfR_3b6Q.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200525_66%2F1590389985303B59px_PNG%2FQCKcUfGAW5fYggCqdohAiixH.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180315_181%2F152109235263372423_JPEG%2F46FTi9QFIw0yyGmQzHFyyQ_m.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180315_130%2F1521092352623EQ0fI_JPEG%2FsxFw2XFJcylJCzPvFiIxYqtD.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180315_42%2F15210923526684rxXX_JPEG%2FKwoNH3tSg4wUm7tOs7KPbdE3.jpg"
34,끌로에필라테스 상수점필라테스,서울 마포구 독막로 91 동호빌딩 2층 3층,0507-1364-3828,"단체석, 주차, 무선 인터넷, 남/녀 화장실 구분, 제로페이","Chloe Pilates,안녕하세요 끌로에 필라테스 상수 지점 입니다.저희 끌로에 필라테스는 체형교정을 전문적으로 진행하고 있으며,기존 필라테스샵과는 다르게 오랜경력과 경험사례가 풍부하신 강사님들과 가족처럼 함께하고 있습니다.체계적인 관리시스템과 개인 맞춤형 운동 커리큘럼으로 모든 회원님들의체형상태, 운동목적에 맞추어 정확하게 케어 해드리고 있습니다.Chloe Program저희 끌로에 필라테스는,프라이빗한 개인레슨, 듀엣레슨1:8 그룹레슨 프로그램을 진행중 입니다.개인 레슨과 듀엣레슨은* 재활, 체형교정을 수업하는 교정 전문 프로그램과* 근력 강화 운동을 위한, 웨이트 필라테스* 체중 감량 운동에 중점을 두고 있는 다이어트 필라테스를전문 운영중입니다.시설내 문의사항 또는 이벤트 안내는카카오톡 문의 또는 전화 주시면 친절히 안내 도와드리겠습니다.감사합니다.",,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210223_179%2F1614054045977VhX5N_JPEG%2FVRQ58TJ_dcOEqXZVUqd37Po7.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210405_167%2F16175817543365fVh7_JPEG%2FclGYzCspLxI7yGnFASxWWvMs.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210404_82%2F1617520021794xwuxL_JPEG%2FTZp4isAA_CE-oQged4G-AgpE.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210223_45%2F1614054205818kgSpy_JPEG%2F6xHdgKo_nyd5Q-Fh9eo7InDi.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210404_294%2F1617520021532de4GY_JPEG%2F5xprTdVSmAGvp5cUga5XnxTL.jpg"
35,타임투필라테스 서강점필라테스,"서울 마포구 창전로 35 서하빌딩 4F, 5F",02-322-5902,"단체석, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","First pilates, time to PILATES@업계최초 필라테스 운동법 특허 보유@업계최초 베이비케어 서비스 실시Professional pilates, time to PILATES@정형외과, 산부인과 병원출강@필라테스 강사 교육기관VVIP pilates, time to PILATES@수입기구 도입@전문체형측정장비, 음파운동장비 도입안녕하세요타임투 필라테스 서강점 입니다.수준 높은 필라테스를 위한 가장 합리적인 선택,타임투 필라테스가 함께하겠습니다.6호선 광흥창역 도보 2분",,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160304_60%2F1457089235052Oo9G9_JPEG%2F176254603053983_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180913_44%2F1536804960989qBmge_JPEG%2FUL67Fy96-QHsx_cyWPhlY4i4.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190430_289%2F15566241292094aFEz_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_2_MG_8520., https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190430_267%2F1556624129246vphGA_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_2_MG_8529., https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190430_284%2F15566241292256rqjY_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_2_MG_8544."
36,BM필라테스&PT 마포공덕점필라테스,서울 마포구 도화4길 19 2층,0507-1349-2223,"주차, 방문접수/출장, 예약, 무선 인터넷",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_294%2F1625705934519EzquK_PNG%2F0BG0UgaKm7ZvOyKW-BQ88Wpt.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_117%2F16257059337694oE5b_PNG%2FOBwmuHOvmjLgGsatZ37lgXUg.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_62%2F1625705933770dI5Mp_PNG%2FbKy305GOq9HEGesq4h4Brd80.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_199%2F1625705933417BpWU9_PNG%2F343jgmlpy_43FWlgv7pr8wMp.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_53%2F1625705933682qhRsU_PNG%2FfutJPNiPqb14B4eRVbVsCuB2.png"
37,아이필라테스 신촌본점필라테스,서울 마포구 백범로 8,02-702-0211,"단체석, 주차, 무선 인터넷, 남/녀 화장실 구분, 지역화폐(카드형), 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170808_70%2F1502175321922E4L0E_JPEG%2F186758558541822_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170822_253%2F1503387898045Iei78_JPEG%2F2Cl6UGOTfMHWChiAVuh9ggX4.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170822_216%2F1503387904804s8Ge6_JPEG%2Fc_GS0dyR4S4_bhkgYFUIBWP5.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170822_198%2F1503387996513aeqp8_JPEG%2Fm8AoOloaBlQySnBqwFl91VzX.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170822_43%2F1503388000143NmjgT_JPEG%2FrmilDA04CAYx-CyGX4Oe30PX.jpg"
38,미인필라테스필라테스,서울 마포구 월드컵로 31 오벨리움 빌딩,0507-1444-8256,"주차, 방문접수/출장, 예약, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_30%2F1571637547287CePkw_JPEG%2Fae8ncA2dvNffg6KAhWnL-Uon.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_71%2F1571637424711ndUQ7_GIF%2Fi0OSM0P7NMj_zZhJ_bAEfjtw.g, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_92%2F1571649090976E5bsn_JPEG%2FRgc0jW757cD9fj1lMXs7bPY8.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_68%2F1571649098614vXXm8_JPEG%2FKWtWwgadf0aU3ZL00atBCyts.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191021_219%2F15716490834260eEzd_JPEG%2FWIQYHLCmhDs6tIDoMs5gPWCc.jpg"
